name,pdga#
aaron gossage,35449
adam hammes,57365
adrian chevalier,104894
aidan scott,99246
aj carey,61770
alan wagner,28550
albert tamm,76669
alden harris,98091
allen heston,114790
andrew fish,58320
andrew lavoie,127483
andrew marwede,75590
andrew paulson,118604
andrew presnell,63765
anthony barela,44382
austen mcdaniel,184498
austin hannum,68835
austin housewright,77181
austin turner,54049
ben wolff,144530
benjamin callaway,39015
bhrahsten waugh,45463
billy engel,44458
blake poland,100708
blake waldron,100981
bo tillman,46480
bradley williams,31644
braeden moore,108289
braeden sides,129963
brandon brown,87673
brent hannu,128231
brock shepherd,32091
brodie smith,128378
cale leiviska,24341
calvin heimburg,45971
calvin pettigrew,31818
cameron messerschmidt,58814
carter ahrens,88279
casey white,81739
chandler fry,25541
chandler kramer,139228
charlie moore,78268
chris clemons,50401
chris dickerson,62467
chris harris,37146
chris nelson,78697
chris ozolins,55049
chris paetz,110290
chris pinegar,74719
clay edwards,91397
clint calvin,84958
clint kuglar,58751
colby childress,101578
cole redalen,79748
colten montgomery,35876
connor o'reilly,99648
connor rock,73695
corbin milchesky,153445
corey ellis,44512
dallas wrinkle,88370
danny beauchamp,76153
david feldberg,12626
drew gibson,48346
dw hass,94907
dylan horst,32599
dylan seppala,124138
e. lucas pierce,123319
eagle mcmahon,37817
elijah bickel,94844
emerson keith,47472
eric oakley,53565
evan scott,89394
evan smith,101574
ezra aderhold,121715
ezra robinson,50671
fredy meza,100497
g.t. hancock,49885
gabriel hernández,148785
gannon buhr,75412
garett everson,98164
garrett gurthie,13864
gavin babcock,80331
gavin phillips,119504
gavin rathbun,60436
grady shue,68285
gregg barsby,15857
harper thompson,60259
harris reid,72429
hjalte jensen,129061
ian burchett,60435
ian hamilton,97422
ilkin groh,145831
isaac marrs,65220
isaac robinson,50670
jacky chen,128836
jacob chesser,96063
jacob courtis,56511
jaden rye,153363
jake brown,140954
jake hebenheimer,43762
jake monn,98722
jake wolff,144536
jakub semerád,91925
jakub semerad,91925
james beckner,49519
james conrad,17295
james proctor,34250
jared stoll,68103
jarod gogal,72409
jason lawson,165807
jason lynn,46394
jeffrey mccormick,116860
jeremy koling,33705
jim oates,3351
joel freeman,69509
john jones,43834
john willis ii,23844
jon lynn,99462
jonathan fletcher,65940
jonathan nicholson,101390
joona heinänen,58926
joona heinanen,58926
jordan castro,49431
jordan henshaw,137590
josef berg,95050
joseph anderson,122356
josh bergquist,72478
josh coghill,63364
josh miller,62910
joshua anthon,17946
joshua patin,56037
justin anderson,55776
justin atwater-taylor,33117
justin rosak,98161
kade filimoehala,104984
kevin jones,41760
kevin kiefer iii,97115
kyle klein,85132
landen mortensen,119084
levi hancock,103050
liam stott,60044
logan bowers,31536
logan harpool,101319
luke humphries,69424
luke samson,59419
luke taylor,102119
mark chapalonis,70741
mark turner,199745
mason ford,72844
mason hults,121920
mason marchbanks,79753
matt bell,48950
matt dollar,26045
matt thompson,125969
matthew barajas,71050
matthew orum,18330
max regitnig,27812
maximus meyer,49865
micah groth,113179
michael johansen,20300
mike laitala,43081
miles seaborn,29264
nate hecker,93475
nate perkins,65737
nathan queen,68286
nathan sexton,18824
nate sexton,18824
nathaniel johnson,138355
nicholas gill,33838
nick hanson,40274
nick newton,47689
nikko locastro,11534
niklas anttila,91249
noah fiveash,99153
noah meintsma,56555
nolan ramser,90461
parker welck,39491
patrick blazek,25325
paul krans,132521
paul mcbeth,27523
paul oman,34344
paul ulibarri,27171
phil mcguire,83784
philo brathwaite,26416
randon latta,51685
rasmus metsamaa,92779
rasmus saukkoriipi,136325
raven newsom,88212
reid frescura,48338
ricky wysocki,38008
robert burridge,96512
sam dicarlo,115742
sam lee,78519
scott withers,38464
seth talbott,114877
shay montes,99089
silas schultz,79047
simon lizotte,8332
steve berger,28091
sullivan tipton,78817
tanner girouard,88077
thomas gilbert,85850
thunder schultz,56016
tim barham,53332
tom erik k steen,83906
tommy gunz trujillo iii,71392
tony ferro,33551
tony moe reiss,47136
travis powell,14055
trevon crowe,67172
trevor harbolt,26860
trey martin,102965
tristan tanner,99053
tuomas hyytiäinen,65715
ty love,89959
tyler horne,16058
tyler schrock,71872
tyler wozniak,92805
vaino makela,59635
weston isaacs,40883
zach arlinghaus,65266
zach lyons-wade,129701
zach melton,38631
zachary nash,101197
zackeriath johnson,50312
hjalmar fredriksson,116137 
